#procs	total	verlet	thermo	forces	moment	kinetic	printing
2	350.108917	18.0720825	7.88902473	672.898682	6.57114089E-02	4.38559353E-02	3.07750058
4	170.534393	30.7423706	17.8559399	636.404602	9.82269794E-02	4.00605425E-02	2.69910192
6	126.117508	58.7310181	26.9198837	678.250671	0.218670025	7.55290315E-02	2.25147867
8	102.672646	117.720154	35.7513962	678.895203	0.318729579	0.116386771	1.97688985
10	84.6731186	105.990112	53.1646996	700.319214	0.556668937	0.122709483	2.71640611
12	97.7209473	334.741333	79.6569824	778.700317	1.32730830	0.219389886	3.15876794
14	76.2664413	266.600098	73.8340759	751.346619	0.773431242	0.171798199	2.41039610
16	81.3321609	517.113892	98.1197586	715.701782	0.929805160	0.313041776	2.24866152
18	97.2441788	542.811279	105.605408	1132.59802	3.08673120	0.310656965	2.24870920
20	83.4688721	819.302246	127.754837	759.581055	3.04034662	0.402456909	1.93199110
22	152.532303	1046.27563	147.367722	2200.02930	4.73980999	0.396829367	1.88619018
24	148.687866	1374.80811	175.824677	2062.90430	5.43964863	0.468508691	1.96350503
26	134.965958	1567.57922	204.664780	1786.85950	6.02958679	0.555619359	2.45019245
28	117.091042	1705.80054	185.548340	1417.74194	7.46379423	0.567702532	1.88981497
